,TS_OX1_RS,TS_OX1_SM,TS_OX1_SCM,TS_OX1_IM
279,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15159.02186178516
280,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15159.02186178516
281,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15159.02186178516
282,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15159.02186178516
283,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15159.02186178516
284,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15090.311059194668
285,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15090.311059194668
286,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15090.311059194668
287,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15090.311059194668
288,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15090.311059194673
289,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15159.02186178516
290,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15159.021861785166
291,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15159.021861785164
292,-18720.096288478384,-14285.847753026079,-14903.37568910818,-15159.02186178516
293,-18720.096288478384,-14285.847753026079,-14903.37568910818,-15159.021861785164
294,-18720.096288478384,-14258.464419863518,-14903.37568910818,-15159.021861785164
295,-18720.096288478384,-14258.464419863518,-14903.37568910818,-15159.021861785164
296,-18720.096288478384,-14258.464419863518,-14908.229181706522,-15159.021861785164
297,-18720.096288478384,-14258.464419863518,-14908.229181706522,-15159.021861785164
298,-18720.29334669993,-14258.464419863518,-14908.229181706522,-15159.021861785164
299,-18720.29334669993,-14258.464419863518,-14908.229181706522,-15159.021861785164
300,-18720.29334669993,-14258.464419863518,-14908.229181706522,-15233.079369955134
301,-18720.29334669993,-14258.464419863518,-14908.229181706522,-15159.021861785164
302,-18720.29334669993,-14748.590784339976,-14908.229181706522,-15159.021861785166
303,-18720.29334669993,-14748.590784339976,-14908.229181706522,-15159.021861785164
304,-18720.29334669993,-14258.464419863518,-14908.229181706522,-15159.021861785164
305,-18721.41502658928,-14258.464419863518,-14908.229181706522,-15159.021861785159
306,-18720.29334669993,-14298.361911753691,-14908.229181706522,-15159.021861785159
307,-18720.29334669993,-14258.464419863518,-14908.229181706522,-15159.021861785159
308,-18720.29334669993,-14298.361911753691,-14908.229181706522,-15159.021861785159
309,-18726.114211552533,-14298.361911753691,-14908.229181706522,-15159.02186178516
310,-18726.114211552533,-14298.361911753691,-14908.229181706522,-15159.02186178516
311,-18726.114211552533,-14298.361911753691,-14908.229181706522,-15159.02186178516
312,-18727.86814961344,-14298.361911753691,-14908.229181706522,-15159.02186178516
313,-18726.69556620516,-14298.361911753691,-14908.229181706522,-15159.02186178516
314,-18726.114211552533,-14298.361911753691,-14908.229181706522,-15159.02186178516
315,-19216.388319446425,-14426.612505450546,-14908.229181706522,-15159.02186178516
316,-18728.158297516136,-14426.612505450546,-14908.229181706522,-15159.02186178516
317,-18728.158297516136,-14298.361911753691,-14908.229181706522,-15159.02186178516
318,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
319,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
320,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
321,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
322,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
323,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
324,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
325,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
326,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
327,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
328,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
329,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
